,correlation,abs_correlation
ASIAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: Asian alone or in combination with one or more other races -- (Estimate),0.5827368203365517,0.5827368203365517
DETAILED RACE: Population of one race: Asian alone: Total population -- (Estimate),0.5499085338677213,0.5499085338677213
RACE: Asian alone: Total population -- (Estimate),0.5499085338677213,0.5499085338677213
DETAILED RACE: Population of two or more races: Population of two races: White; Asian: Total population -- (Estimate),0.5117018351305327,0.5117018351305327
WHITE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: White alone or in combination with one or more other races -- (Estimate),0.5069278280090963,0.5069278280090963
DETAILED RACE: Total: Total population -- (Estimate),0.5027078307060728,0.5027078307060728
DETAILED RACE: Population of one race: Total population -- (Estimate),0.4926267550932511,0.4926267550932511
RACE: White alone: Total population -- (Estimate),0.4894445581226893,0.4894445581226893
DETAILED RACE: Population of one race: White: Total population -- (Estimate),0.4894445581226893,0.4894445581226893
ASIAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: Asian alone or in combination with one or more other races -- (Margin of Error),0.475676105775098,0.475676105775098
DETAILED RACE: Population of one race: Asian alone: Total population -- (Margin of Error),0.4524988101574718,0.4524988101574718
RACE: Asian alone: Total population -- (Margin of Error),0.4524988101574718,0.4524988101574718
DETAILED RACE: Population of two or more races: Population of two races: White; Asian: Total population -- (Margin of Error),0.42722117691212785,0.42722117691212785
"RACE: Two or more races: Two races excluding Some other race, and three or more races: Total population -- (Estimate)",0.4124427735753422,0.4124427735753422
"DETAILED RACE: Population of two or more races: Some other race: Two races excluding Some other race, and three or more races: Total population -- (Estimate)",0.4124427735753422,0.4124427735753422
DETAILED RACE: Population of two or more races: Population of two races: Total population -- (Estimate),0.39255331910642344,0.39255331910642344
RACE: Two or more races: Total population -- (Estimate),0.39081049106551735,0.39081049106551735
DETAILED RACE: Population of two or more races: Total population -- (Estimate),0.39081049106551735,0.39081049106551735
"RACE: Two or more races: Two races excluding Some other race, and three or more races: Total population -- (Margin of Error)",0.33474621593951803,0.33474621593951803
"DETAILED RACE: Population of two or more races: Some other race: Two races excluding Some other race, and three or more races: Total population -- (Margin of Error)",0.33474621593951803,0.33474621593951803
RACE: Two or more races: Total population -- (Margin of Error),0.3016967064179896,0.3016967064179896
DETAILED RACE: Population of two or more races: Total population -- (Margin of Error),0.3016967064179896,0.3016967064179896
DETAILED RACE: Population of two or more races: Population of two races: Total population -- (Margin of Error),0.30124184423440414,0.30124184423440414
WHITE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES: Total: White alone or in combination with one or more other races -- (Margin of Error),0.17263327082764013,0.17263327082764013
DETAILED RACE: Population of two or more races: Population of two races: All other two race combinations: Total population -- (Estimate),0.16613834833340027,0.16613834833340027
DETAILED RACE: Population of one race: White: Total population -- (Margin of Error),0.1616504853255383,0.1616504853255383
RACE: White alone: Total population -- (Margin of Error),0.1616504853255383,0.1616504853255383
DETAILED RACE: Population of two or more races: Population of two races: White; Black or African American: Total population -- (Estimate),0.1464780383390335,0.1464780383390335
DETAILED RACE: Population of two or more races: Population of three races: Total population -- (Estimate),0.14463374317994068,0.14463374317994068
DETAILED RACE: Population of two or more races: Population of two races: White; Black or African American: Total population -- (Margin of Error),0.1377785576716658,0.1377785576716658
DETAILED RACE: Population of two or more races: Population of two races: All other two race combinations: Total population -- (Margin of Error),0.136768284892709,0.136768284892709
DETAILED RACE: Population of two or more races: Population of three races: Total population -- (Margin of Error),0.13572506026825537,0.13572506026825537
RACE: Total: Total population -- (Margin of Error),0.13369557261345197,0.13369557261345197
DETAILED RACE: Total: Total population -- (Margin of Error),0.13369557261345197,0.13369557261345197
