,correlation,abs_correlation
HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Total population -- (Estimate),0.7811143625564935,0.7811143625564935
HISPANIC OR LATINO ORIGIN: Not Hispanic or Latino: Total population -- (Estimate),0.7811143625564935,0.7811143625564935
HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: White alone: Total population -- (Estimate),0.6745456077860666,0.6745456077860666
HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Asian alone: Total population -- (Estimate),0.5489794923354112,0.5489794923354112
HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: White alone: Total population -- (Margin of Error),0.5136449991566358,0.5136449991566358
HISPANIC OR LATINO ORIGIN: Total: Total population -- (Estimate),0.5027078307060728,0.5027078307060728
HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Total population -- (Margin of Error),0.48196995135919074,0.48196995135919074
HISPANIC OR LATINO ORIGIN: Not Hispanic or Latino: Total population -- (Margin of Error),0.48196995135919074,0.48196995135919074
HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Two or more races: Total population -- (Estimate),0.4725592042847204,0.4725592042847204
"HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Two or more races: Two races excluding Some other race, and three or more races: Total population -- (Estimate)",0.4661369167012038,0.4661369167012038
HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Asian alone: Total population -- (Margin of Error),0.453497724360131,0.453497724360131
HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Two or more races: Total population -- (Margin of Error),0.3904910303214723,0.3904910303214723
"HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Two or more races: Two races excluding Some other race, and three or more races: Total population -- (Margin of Error)",0.3879622409546537,0.3879622409546537
HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: Asian alone: Total population -- (Estimate),0.14359836660159,0.14359836660159
HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Two or more races: Two races including Some other race: Total population -- (Estimate),0.13897711082455105,0.13897711082455105
HISPANIC OR LATINO ORIGIN BY RACE: Hispanic or Latino: Asian alone: Total population -- (Margin of Error),0.1379819872097027,0.1379819872097027
HISPANIC OR LATINO ORIGIN BY RACE: Total: Total population -- (Margin of Error),0.13369557261345197,0.13369557261345197
HISPANIC OR LATINO ORIGIN: Total: Total population -- (Margin of Error),0.13369557261345197,0.13369557261345197
HISPANIC OR LATINO ORIGIN BY RACE: Not Hispanic or Latino: Two or more races: Two races including Some other race: Total population -- (Margin of Error),0.12867022284086552,0.12867022284086552
