,correlation,abs_correlation
GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--METROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES: Same house 1 year ago: Population 1 year and over living in a Metropolitan Statistical Area in the United States -- (Estimate),0.4876975386634989,0.4876975386634989
GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--METROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES: Abroad 1 year ago: Population 1 year and over living in a Metropolitan Statistical Area in the United States -- (Estimate),0.32600597793270053,0.32600597793270053
GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--METROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES: Different house in United States 1 year ago: Different Metropolitan Statistical Area: Population 1 year and over living in a Metropolitan Statistical Area in the United States -- (Margin of Error),0.32288317605016426,0.32288317605016426
GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--METROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES: Different house in United States 1 year ago: Population 1 year and over living in a Metropolitan Statistical Area in the United States -- (Estimate),0.3216411076660862,0.3216411076660862
GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--METROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES: Abroad 1 year ago: Population 1 year and over living in a Metropolitan Statistical Area in the United States -- (Margin of Error),0.31320760865557357,0.31320760865557357
GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--METROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES: Different house in United States 1 year ago: Same Metropolitan Statistical Area: Population 1 year and over living in a Metropolitan Statistical Area in the United States -- (Estimate),0.2938727754355226,0.2938727754355226
GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--METROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES: Different house in United States 1 year ago: Different Metropolitan Statistical Area: Moved from principal city: Population 1 year and over living in a Metropolitan Statistical Area in the United States -- (Margin of Error),0.2873952772547084,0.2873952772547084
GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--METROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES: Different house in United States 1 year ago: Same Metropolitan Statistical Area: Moved from principal city: Population 1 year and over living in a Metropolitan Statistical Area in the United States -- (Estimate),0.28456801559094813,0.28456801559094813
GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--METROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES: Different house in United States 1 year ago: Different Metropolitan Statistical Area: Moved from principal city: Population 1 year and over living in a Metropolitan Statistical Area in the United States -- (Estimate),0.2673461125239545,0.2673461125239545
GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--METROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES: Different house in United States 1 year ago: Different Metropolitan Statistical Area: Moved from remainder of Metropolitan Statistical Area: Population 1 year and over living in a Metropolitan Statistical Area in the United States -- (Margin of Error),0.2586722858987095,0.2586722858987095
GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--METROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES: Different house in United States 1 year ago: Population 1 year and over living in a Metropolitan Statistical Area in the United States -- (Margin of Error),0.25775964140115165,0.25775964140115165
GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--METROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES: Different house in United States 1 year ago: Different Metropolitan Statistical Area: Population 1 year and over living in a Metropolitan Statistical Area in the United States -- (Estimate),0.24635946002775422,0.24635946002775422
GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--NOT METROPOLITAN OR MICROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES: Different house in United States 1 year ago: Micropolitan Statistical Area: Moved from principal city: Population 1 year and over not living in a Metropolitan or Micropolitan Statistical Area in the United States -- (Margin of Error),0.22688140566300635,0.22688140566300635
GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--METROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES: Different house in United States 1 year ago: Same Metropolitan Statistical Area: Moved from principal city: Population 1 year and over living in a Metropolitan Statistical Area in the United States -- (Margin of Error),0.22419774134480494,0.22419774134480494
GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--METROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES: Different house in United States 1 year ago: Same Metropolitan Statistical Area: Population 1 year and over living in a Metropolitan Statistical Area in the United States -- (Margin of Error),0.20589899318919766,0.20589899318919766
GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--METROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES: Different house in United States 1 year ago: Different Metropolitan Statistical Area: Moved from remainder of Metropolitan Statistical Area: Population 1 year and over living in a Metropolitan Statistical Area in the United States -- (Estimate),0.19561299455976158,0.19561299455976158
GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--METROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES: Same house 1 year ago: Population 1 year and over living in a Metropolitan Statistical Area in the United States -- (Margin of Error),0.1656979754452538,0.1656979754452538
