,correlation,abs_correlation
HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Spouse: Total population -- (Estimate),0.6855519246729541,0.6855519246729541
LIVING ARRANGEMENTS OF ADULTS 18 YEARS AND OVER BY AGE: In group quarters: Householder living with spouse or spouse of householder: Population 18 years and over in households -- (Estimate),0.6850506239003965,0.6850506239003965
LIVING ARRANGEMENTS OF ADULTS 18 YEARS AND OVER BY AGE: 35 to 64 years: Householder living with spouse or spouse of householder: Population 18 years and over in households -- (Estimate),0.657196621003935,0.657196621003935
HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Householder: Male: Total population -- (Estimate),0.6302230369492634,0.6302230369492634
LIVING ARRANGEMENTS OF ADULTS 18 YEARS AND OVER BY AGE: 35 to 64 years: Population 18 years and over in households -- (Estimate),0.6272070112517726,0.6272070112517726
LIVING ARRANGEMENTS OF ADULTS 18 YEARS AND OVER BY AGE: Total: Population 18 years and over in households -- (Estimate),0.6023886598026463,0.6023886598026463
HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Householder: Total population -- (Estimate),0.5879469981106158,0.5879469981106158
HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In nonfamily households: Householder: Total population -- (Estimate),0.5278612026974752,0.5278612026974752
HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: Total population -- (Estimate),0.5241564363660839,0.5241564363660839
HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In nonfamily households: Total population -- (Estimate),0.5102004147065784,0.5102004147065784
HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In nonfamily households: Householder: Female: Total population -- (Estimate),0.5048586657997608,0.5048586657997608
HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: Total: Total population -- (Estimate),0.5027078307060728,0.5027078307060728
LIVING ARRANGEMENTS OF ADULTS 18 YEARS AND OVER BY AGE: In group quarters: Lives alone: Population 18 years and over in households -- (Estimate),0.49404087596042695,0.49404087596042695
HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Spouse: Total population -- (Margin of Error),0.49230914088940864,0.49230914088940864
LIVING ARRANGEMENTS OF ADULTS 18 YEARS AND OVER BY AGE: In group quarters: Householder living with spouse or spouse of householder: Population 18 years and over in households -- (Margin of Error),0.4904460926533307,0.4904460926533307
HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Householder: Male: Total population -- (Margin of Error),0.487713661297049,0.487713661297049
HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In nonfamily households: Householder: Total population -- (Margin of Error),0.4812160716590656,0.4812160716590656
LIVING ARRANGEMENTS OF ADULTS 18 YEARS AND OVER BY AGE: 65 years and over: Population 18 years and over in households -- (Estimate),0.47546319549321603,0.47546319549321603
RELATIONSHIP BY HOUSEHOLD TYPE (INCLUDING LIVING ALONE) FOR THE POPULATION 65 YEARS AND OVER: In households: Population 65 years and over -- (Estimate),0.47546319549321603,0.47546319549321603
