,correlation,abs_correlation
"SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Female: Now married: Married, spouse present: Population 15 years and over -- (Estimate)",0.667417812314318,0.667417812314318
"SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Male: Now married: Married, spouse present: Population 15 years and over -- (Estimate)",0.6608170923641608,0.6608170923641608
SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Female: Now married: Population 15 years and over -- (Estimate),0.62937508658404,0.62937508658404
SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Male: Now married: Population 15 years and over -- (Estimate),0.6136418882557876,0.6136418882557876
SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Female: Population 15 years and over -- (Estimate),0.5664435041347395,0.5664435041347395
SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Male: Population 15 years and over -- (Estimate),0.474684295453903,0.474684295453903
"SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Female: Now married: Married, spouse present: Population 15 years and over -- (Margin of Error)",0.4518033955797141,0.4518033955797141
"SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Male: Now married: Married, spouse present: Population 15 years and over -- (Margin of Error)",0.4397703394611773,0.4397703394611773
SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Female: Divorced: Population 15 years and over -- (Estimate),0.3876024293593087,0.3876024293593087
SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Female: Now married: Population 15 years and over -- (Margin of Error),0.37966895773906195,0.37966895773906195
SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Male: Now married: Population 15 years and over -- (Margin of Error),0.3558186618399418,0.3558186618399418
SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Female: Divorced: Population 15 years and over -- (Margin of Error),0.35065946833740025,0.35065946833740025
SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Female: Never married: Population 15 years and over -- (Estimate),0.2739324912528052,0.2739324912528052
SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Female: Population 15 years and over -- (Margin of Error),0.2665305259912865,0.2665305259912865
SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Female: Widowed: Population 15 years and over -- (Margin of Error),0.264259142951084,0.264259142951084
SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Female: Widowed: Population 15 years and over -- (Estimate),0.2630749814583639,0.2630749814583639
SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Female: Never married: Population 15 years and over -- (Margin of Error),0.2532330903507686,0.2532330903507686
SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Male: Never married: Population 15 years and over -- (Margin of Error),0.2501000672720077,0.2501000672720077
SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Male: Divorced: Population 15 years and over -- (Margin of Error),0.24987298272475447,0.24987298272475447
SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Male: Never married: Population 15 years and over -- (Estimate),0.24890133678895213,0.24890133678895213
SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Male: Population 15 years and over -- (Margin of Error),0.23479639175036654,0.23479639175036654
SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Male: Divorced: Population 15 years and over -- (Estimate),0.21725131566412706,0.21725131566412706
SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Total: Population 15 years and over -- (Margin of Error),0.20222142096985143,0.20222142096985143
SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Male: Widowed: Population 15 years and over -- (Margin of Error),0.14883698762220687,0.14883698762220687
SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Male: Widowed: Population 15 years and over -- (Estimate),0.14176838608746395,0.14176838608746395
"SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Female: Now married: Married, spouse absent: Other: Population 15 years and over -- (Estimate)",0.13816513257362104,0.13816513257362104
"SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Female: Now married: Married, spouse absent: Other: Population 15 years and over -- (Margin of Error)",0.13731421026537113,0.13731421026537113
"SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Female: Now married: Married, spouse absent: Population 15 years and over -- (Margin of Error)",0.11110275453033665,0.11110275453033665
"SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Female: Now married: Married, spouse absent: Population 15 years and over -- (Estimate)",0.09138946635280634,0.09138946635280634
"SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Male: Now married: Married, spouse absent: Other: Population 15 years and over -- (Margin of Error)",0.06040387277599276,0.06040387277599276
"SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Male: Now married: Married, spouse absent: Population 15 years and over -- (Margin of Error)",0.05973218542379267,0.05973218542379267
OBJECTID,0.054891048248160754,0.054891048248160754
"SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Male: Now married: Married, spouse absent: Separated: Population 15 years and over -- (Margin of Error)",0.040996067129662896,0.040996067129662896
"SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Male: Now married: Married, spouse absent: Other: Population 15 years and over -- (Estimate)",0.039165420054940364,0.039165420054940364
"SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Male: Now married: Married, spouse absent: Population 15 years and over -- (Estimate)",0.03639300026771136,0.03639300026771136
"SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Female: Now married: Married, spouse absent: Separated: Population 15 years and over -- (Margin of Error)",0.03164955750756929,0.03164955750756929
"SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Male: Now married: Married, spouse absent: Separated: Population 15 years and over -- (Estimate)",0.014733511105306825,0.014733511105306825
"SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER: Female: Now married: Married, spouse absent: Separated: Population 15 years and over -- (Estimate)",-0.008944741211086033,0.008944741211086033
