,correlation,abs_correlation
HOUSEHOLD LANGUAGE BY HOUSEHOLD LIMITED ENGLISH SPEAKING STATUS: English only: Households -- (Estimate),0.6827189402558539,0.6827189402558539
HOUSEHOLD LANGUAGE BY HOUSEHOLD LIMITED ENGLISH SPEAKING STATUS: Other Indo-European languages: Not a limited English speaking household: Households -- (Estimate),0.6531716234843731,0.6531716234843731
HOUSEHOLD LANGUAGE BY HOUSEHOLD LIMITED ENGLISH SPEAKING STATUS: Other Indo-European languages: Not a limited English speaking household: Households -- (Margin of Error),0.6109612391823931,0.6109612391823931
HOUSEHOLD LANGUAGE BY HOUSEHOLD LIMITED ENGLISH SPEAKING STATUS: Other Indo-European languages: Households -- (Margin of Error),0.6066962141945899,0.6066962141945899
HOUSEHOLD LANGUAGE BY HOUSEHOLD LIMITED ENGLISH SPEAKING STATUS: Other Indo-European languages: Households -- (Estimate),0.5942344907253254,0.5942344907253254
AGE BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER: 18 to 64 years: Speak only English: Population 5 years and over -- (Estimate),0.5936246188492587,0.5936246188492587
"AGE BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER: 18 to 64 years: Speak other Indo-European languages: Speak English ""very well"": Population 5 years and over -- (Estimate)",0.590554252700662,0.590554252700662
HOUSEHOLD LANGUAGE BY HOUSEHOLD LIMITED ENGLISH SPEAKING STATUS: Asian and Pacific Island languages: Not a limited English speaking household: Households -- (Estimate),0.5868408713850742,0.5868408713850742
HOUSEHOLD LANGUAGE BY HOUSEHOLD LIMITED ENGLISH SPEAKING STATUS: Asian and Pacific Island languages: Not a limited English speaking household: Households -- (Margin of Error),0.5597004325050331,0.5597004325050331
HOUSEHOLD LANGUAGE BY HOUSEHOLD LIMITED ENGLISH SPEAKING STATUS: Asian and Pacific Island languages: Households -- (Margin of Error),0.545367537002835,0.545367537002835
HOUSEHOLD LANGUAGE BY HOUSEHOLD LIMITED ENGLISH SPEAKING STATUS: English only: Households -- (Margin of Error),0.5378850918309348,0.5378850918309348
"AGE BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER: 18 to 64 years: Speak other Indo-European languages: Speak English ""very well"": Population 5 years and over -- (Margin of Error)",0.5325814191017169,0.5325814191017169
"AGE BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER: 18 to 64 years: Speak Asian and Pacific Island languages: Speak English ""very well"": Population 5 years and over -- (Estimate)",0.5271517588592096,0.5271517588592096
HOUSEHOLD LANGUAGE BY HOUSEHOLD LIMITED ENGLISH SPEAKING STATUS: Asian and Pacific Island languages: Households -- (Estimate),0.5237343307364329,0.5237343307364329
AGE BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER: 18 to 64 years: Speak other Indo-European languages: Population 5 years and over -- (Estimate),0.5204703793453291,0.5204703793453291
AGE BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER: Total: Population 5 years and over -- (Estimate),0.5195803157210903,0.5195803157210903
AGE BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER: 18 to 64 years: Population 5 years and over -- (Estimate),0.5017706786282039,0.5017706786282039
AGE BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER: 18 to 64 years: Speak other Indo-European languages: Population 5 years and over -- (Margin of Error),0.4931291915626848,0.4931291915626848
AGE BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER: 65 years and over: Population 5 years and over -- (Estimate),0.4717758945273406,0.4717758945273406
AGE BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER: 5 to 17 years: Speak only English: Population 5 years and over -- (Estimate),0.4654811722838564,0.4654811722838564
"AGE BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER: 18 to 64 years: Speak Asian and Pacific Island languages: Speak English ""very well"": Population 5 years and over -- (Margin of Error)",0.4578180810047876,0.4578180810047876
AGE BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER: 18 to 64 years: Speak Asian and Pacific Island languages: Population 5 years and over -- (Estimate),0.4535395830789742,0.4535395830789742
AGE BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER: 18 to 64 years: Speak only English: Population 5 years and over -- (Margin of Error),0.4393996521921909,0.4393996521921909
"AGE BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER: 18 to 64 years: Speak Asian and Pacific Island languages: Speak English ""well"": Population 5 years and over -- (Estimate)",0.4108567158364606,0.4108567158364606
AGE BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER: 18 to 64 years: Speak Asian and Pacific Island languages: Population 5 years and over -- (Margin of Error),0.40567279445099846,0.40567279445099846
AGE BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER: 65 years and over: Speak only English: Population 5 years and over -- (Margin of Error),0.40179478672826424,0.40179478672826424
AGE BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER: 65 years and over: Population 5 years and over -- (Margin of Error),0.4015854434701394,0.4015854434701394
AGE BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER: 65 years and over: Speak only English: Population 5 years and over -- (Estimate),0.40058414633647715,0.40058414633647715
AGE BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER: 65 years and over: Speak other Indo-European languages: Population 5 years and over -- (Margin of Error),0.39278276617140206,0.39278276617140206
"AGE BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER: 18 to 64 years: Speak Asian and Pacific Island languages: Speak English ""well"": Population 5 years and over -- (Margin of Error)",0.3842007022824896,0.3842007022824896
AGE BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER: 65 years and over: Speak other Indo-European languages: Population 5 years and over -- (Estimate),0.3692968752490022,0.3692968752490022
HOUSEHOLD LANGUAGE BY HOUSEHOLD LIMITED ENGLISH SPEAKING STATUS: Total: Households -- (Margin of Error),0.36735749955061187,0.36735749955061187
"AGE BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER: 5 to 17 years: Speak Asian and Pacific Island languages: Speak English ""very well"": Population 5 years and over -- (Estimate)",0.35963668666281423,0.35963668666281423
