,correlation,abs_correlation
RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY DISABILITY STATUS FOR HOUSEHOLDS: Household did not receive Food Stamps/SNAP in the past 12 months: Households with no persons with a disability: Households -- (Estimate),0.8268643814037671,0.8268643814037671
RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY DISABILITY STATUS FOR HOUSEHOLDS: Household did not receive Food Stamps/SNAP in the past 12 months: Households -- (Estimate),0.7905331607756163,0.7905331607756163
RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY DISABILITY STATUS FOR HOUSEHOLDS: Household did not receive Food Stamps/SNAP in the past 12 months: Households with no persons with a disability: Households -- (Margin of Error),0.5046106873071221,0.5046106873071221
RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY DISABILITY STATUS FOR HOUSEHOLDS: Household did not receive Food Stamps/SNAP in the past 12 months: Households -- (Margin of Error),0.40517450002859434,0.40517450002859434
RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY DISABILITY STATUS FOR HOUSEHOLDS: Total: Households -- (Margin of Error),0.36735749955061187,0.36735749955061187
RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY DISABILITY STATUS FOR HOUSEHOLDS: Household did not receive Food Stamps/SNAP in the past 12 months: Households with 1 or more persons with a disability: Households -- (Margin of Error),0.3426099884621948,0.3426099884621948
RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY DISABILITY STATUS FOR HOUSEHOLDS: Household did not receive Food Stamps/SNAP in the past 12 months: Households with 1 or more persons with a disability: Households -- (Estimate),0.3327216180745611,0.3327216180745611
OBJECTID,0.054891048248160754,0.054891048248160754
RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY DISABILITY STATUS FOR HOUSEHOLDS: Household received Food Stamps/SNAP in the past 12 months: Households with 1 or more persons with a disability: Households -- (Margin of Error),-0.11444015938116135,0.11444015938116135
RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY DISABILITY STATUS FOR HOUSEHOLDS: Household received Food Stamps/SNAP in the past 12 months: Households with no persons with a disability: Households -- (Margin of Error),-0.14976246713313712,0.14976246713313712
RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY DISABILITY STATUS FOR HOUSEHOLDS: Household received Food Stamps/SNAP in the past 12 months: Households -- (Margin of Error),-0.15968881516112782,0.15968881516112782
RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY DISABILITY STATUS FOR HOUSEHOLDS: Household received Food Stamps/SNAP in the past 12 months: Households with 1 or more persons with a disability: Households -- (Estimate),-0.17761143344889033,0.17761143344889033
RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY DISABILITY STATUS FOR HOUSEHOLDS: Household received Food Stamps/SNAP in the past 12 months: Households with no persons with a disability: Households -- (Estimate),-0.207056109204055,0.207056109204055
RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY DISABILITY STATUS FOR HOUSEHOLDS: Household received Food Stamps/SNAP in the past 12 months: Households -- (Estimate),-0.22406231291942239,0.22406231291942239
