LON,LAT,,,,,,,,
-119.8386030000,34.4145685500,,,,,,,,
-119.8537710000,34.4079960000,,,,,,,,
-119.8537760000,34.4079962200,,,,,,,,
-119.8539000000,34.4080011100,,,,,,,,
-119.8728870000,34.4087521500,,,,,,,,
-119.8739710000,34.4087950000,,,,,,,,
-119.8781110000,34.4108256100,,,,,,,,
-119.8850930000,34.4142496100,,,,,,,,
-119.8851760000,34.4142900800,,,,,,,,
-119.8981960000,34.4206750600,,,,,,,,
-119.9099490000,34.4264386900,,,,,,,,
-119.9115500000,34.4272241700,,,,,,,,
-119.9252270000,34.4339310000,,,,,,,,
-119.9269820000,34.4340073400,,,,,,,,
-119.9416850000,34.4346467000,,,,,,,,
-119.9475500000,34.4349017500,,,,,,,,
-119.9555160000,34.4352481600,,,,,,,,
-119.9564330000,34.4352880000,,,,,,,,
-119.9569970000,34.4356283200,,,,,,,,
-119.9575500000,34.4359614400,,,,,,,,
-119.9576070000,34.4359956200,,,,,,,,
-119.9626290000,34.4390227800,,,,,,,,
-119.9674960000,34.4419564100,,,,,,,,
-119.9686690000,34.4426630400,,,,,,,,
-119.9689500000,34.4428325700,,,,,,,,
-119.9714680000,34.4443504100,,,,,,,,
-119.9719510000,34.4446410000,,,,,,,,
-119.9733520000,34.4452540300,,,,,,,,
-119.9736820000,34.4453983800,,,,,,,,
-119.9758910000,34.4463649200,,,,,,,,
-119.9759040000,34.4463708600,,,,,,,,
-119.9762110000,34.4465048600,,,,,,,,
-119.9783070000,34.4474222600,,,,,,,,
-119.9791210000,34.4477784000,,,,,,,,
-119.9796240000,34.4479983500,,,,,,,,
-119.9850290000,34.4503632800,,,,,,,,
-120.0007360000,34.4572352400,,,,,,,,
-120.0080770000,34.4604470000,,,,,,,,
-120.0109640000,34.4607274400,,,,,,,,
-120.0115790000,34.4607872400,,,,,,,,
-120.0184570000,34.4614553300,,,,,,,,
-120.0226480000,34.4618624000,,,,,,,,
-120.0388280000,34.4634340000,,,,,,,,
-120.0389850000,34.4634103300,,,,,,,,
-120.0468360000,34.4622293600,,,,,,,,
-120.0506820000,34.4616510000,,,,,,,,
-120.0511350000,34.4616337300,,,,,,,,
-120.0553450000,34.4614734700,,,,,,,,
-120.0596070000,34.4613112500,,,,,,,,
-120.0639120000,34.4611473800,,,,,,,,
-120.0721200000,34.4608349300,,,,,,,,
-120.0732350000,34.4607925200,,,,,,,,
-120.0827140000,34.4604316900,,,,,,,,
-120.0832920000,34.4604096800,,,,,,,,
-120.0841770000,34.4603759900,,,,,,,,
-120.0851410000,34.4603393000,,,,,,,,
-120.0855340000,34.4603243400,,,,,,,,
-120.0857310000,34.4603168200,,,,,,,,
-120.0883320000,34.4602178300,,,,,,,,
-120.0883730000,34.4602162700,,,,,,,,
-120.0885910000,34.4602080000,,,,,,,,
-120.0894140000,34.4603608800,,,,,,,,
-120.0897590000,34.4604250000,,,,,,,,
-120.0969870000,34.4617672900,,,,,,,,
-120.0972120000,34.4618090000,,,,,,,,
-120.1020760000,34.4636717200,,,,,,,,
-120.1031010000,34.4640642500,,,,,,,,
-120.1184110000,34.4699270000,,,,,,,,
-120.1397980000,34.4731961600,,,,,,,,
-120.1400350000,34.4732323600,,,,,,,,
-120.1411650000,34.4734050000,,,,,,,,
