,OBJECTID,Short_Name,Full_Name
0,1,B00001e1,UNWEIGHTED SAMPLE COUNT OF THE POPULATION: Total: Total population -- (Estimate)
1,2,B00001m1,UNWEIGHTED SAMPLE COUNT OF THE POPULATION: Total: Total population -- (Margin of Error)
2,3,B00002e1,UNWEIGHTED SAMPLE HOUSING UNITS: Total: Housing units -- (Estimate)
3,4,B00002m1,UNWEIGHTED SAMPLE HOUSING UNITS: Total: Housing units -- (Margin of Error)
4,5,B01001e1,SEX BY AGE: Total: Total population -- (Estimate)
5,6,B01001m1,SEX BY AGE: Total: Total population -- (Margin of Error)
6,7,B01001e2,SEX BY AGE: Male: Total population -- (Estimate)
7,8,B01001m2,SEX BY AGE: Male: Total population -- (Margin of Error)
8,9,B01001e3,SEX BY AGE: Male: Under 5 years: Total population -- (Estimate)
9,10,B01001m3,SEX BY AGE: Male: Under 5 years: Total population -- (Margin of Error)
10,11,B01001e4,SEX BY AGE: Male: 5 to 9 years: Total population -- (Estimate)
11,12,B01001m4,SEX BY AGE: Male: 5 to 9 years: Total population -- (Margin of Error)
12,13,B01001e5,SEX BY AGE: Male: 10 to 14 years: Total population -- (Estimate)
13,14,B01001m5,SEX BY AGE: Male: 10 to 14 years: Total population -- (Margin of Error)
14,15,B01001e6,SEX BY AGE: Male: 15 to 17 years: Total population -- (Estimate)
15,16,B01001m6,SEX BY AGE: Male: 15 to 17 years: Total population -- (Margin of Error)
16,17,B01001e7,SEX BY AGE: Male: 18 and 19 years: Total population -- (Estimate)
17,18,B01001m7,SEX BY AGE: Male: 18 and 19 years: Total population -- (Margin of Error)
18,19,B01001e8,SEX BY AGE: Male: 20 years: Total population -- (Estimate)
19,20,B01001m8,SEX BY AGE: Male: 20 years: Total population -- (Margin of Error)
20,21,B01001e9,SEX BY AGE: Male: 21 years: Total population -- (Estimate)
21,22,B01001m9,SEX BY AGE: Male: 21 years: Total population -- (Margin of Error)
22,23,B01001e10,SEX BY AGE: Male: 22 to 24 years: Total population -- (Estimate)
23,24,B01001m10,SEX BY AGE: Male: 22 to 24 years: Total population -- (Margin of Error)
24,25,B01001e11,SEX BY AGE: Male: 25 to 29 years: Total population -- (Estimate)
25,26,B01001m11,SEX BY AGE: Male: 25 to 29 years: Total population -- (Margin of Error)
26,27,B01001e12,SEX BY AGE: Male: 30 to 34 years: Total population -- (Estimate)
27,28,B01001m12,SEX BY AGE: Male: 30 to 34 years: Total population -- (Margin of Error)
28,29,B01001e13,SEX BY AGE: Male: 35 to 39 years: Total population -- (Estimate)
29,30,B01001m13,SEX BY AGE: Male: 35 to 39 years: Total population -- (Margin of Error)
30,31,B01001e14,SEX BY AGE: Male: 40 to 44 years: Total population -- (Estimate)
31,32,B01001m14,SEX BY AGE: Male: 40 to 44 years: Total population -- (Margin of Error)
32,33,B01001e15,SEX BY AGE: Male: 45 to 49 years: Total population -- (Estimate)
33,34,B01001m15,SEX BY AGE: Male: 45 to 49 years: Total population -- (Margin of Error)
34,35,B01001e16,SEX BY AGE: Male: 50 to 54 years: Total population -- (Estimate)
35,36,B01001m16,SEX BY AGE: Male: 50 to 54 years: Total population -- (Margin of Error)
36,37,B01001e17,SEX BY AGE: Male: 55 to 59 years: Total population -- (Estimate)
37,38,B01001m17,SEX BY AGE: Male: 55 to 59 years: Total population -- (Margin of Error)
38,39,B01001e18,SEX BY AGE: Male: 60 and 61 years: Total population -- (Estimate)
39,40,B01001m18,SEX BY AGE: Male: 60 and 61 years: Total population -- (Margin of Error)
40,41,B01001e19,SEX BY AGE: Male: 62 to 64 years: Total population -- (Estimate)
41,42,B01001m19,SEX BY AGE: Male: 62 to 64 years: Total population -- (Margin of Error)
42,43,B01001e20,SEX BY AGE: Male: 65 and 66 years: Total population -- (Estimate)
43,44,B01001m20,SEX BY AGE: Male: 65 and 66 years: Total population -- (Margin of Error)
44,45,B01001e21,SEX BY AGE: Male: 67 to 69 years: Total population -- (Estimate)
45,46,B01001m21,SEX BY AGE: Male: 67 to 69 years: Total population -- (Margin of Error)
46,47,B01001e22,SEX BY AGE: Male: 70 to 74 years: Total population -- (Estimate)
47,48,B01001m22,SEX BY AGE: Male: 70 to 74 years: Total population -- (Margin of Error)
48,49,B01001e23,SEX BY AGE: Male: 75 to 79 years: Total population -- (Estimate)
49,50,B01001m23,SEX BY AGE: Male: 75 to 79 years: Total population -- (Margin of Error)
50,51,B01001e24,SEX BY AGE: Male: 80 to 84 years: Total population -- (Estimate)
51,52,B01001m24,SEX BY AGE: Male: 80 to 84 years: Total population -- (Margin of Error)
52,53,B01001e25,SEX BY AGE: Male: 85 years and over: Total population -- (Estimate)
53,54,B01001m25,SEX BY AGE: Male: 85 years and over: Total population -- (Margin of Error)
54,55,B01001e26,SEX BY AGE: Female: Total population -- (Estimate)
55,56,B01001m26,SEX BY AGE: Female: Total population -- (Margin of Error)
56,57,B01001e27,SEX BY AGE: Female: Under 5 years: Total population -- (Estimate)
57,58,B01001m27,SEX BY AGE: Female: Under 5 years: Total population -- (Margin of Error)
58,59,B01001e28,SEX BY AGE: Female: 5 to 9 years: Total population -- (Estimate)
59,60,B01001m28,SEX BY AGE: Female: 5 to 9 years: Total population -- (Margin of Error)
60,61,B01001e29,SEX BY AGE: Female: 10 to 14 years: Total population -- (Estimate)
61,62,B01001m29,SEX BY AGE: Female: 10 to 14 years: Total population -- (Margin of Error)
62,63,B01001e30,SEX BY AGE: Female: 15 to 17 years: Total population -- (Estimate)
63,64,B01001m30,SEX BY AGE: Female: 15 to 17 years: Total population -- (Margin of Error)
64,65,B01001e31,SEX BY AGE: Female: 18 and 19 years: Total population -- (Estimate)
65,66,B01001m31,SEX BY AGE: Female: 18 and 19 years: Total population -- (Margin of Error)
66,67,B01001e32,SEX BY AGE: Female: 20 years: Total population -- (Estimate)
67,68,B01001m32,SEX BY AGE: Female: 20 years: Total population -- (Margin of Error)
68,69,B01001e33,SEX BY AGE: Female: 21 years: Total population -- (Estimate)
69,70,B01001m33,SEX BY AGE: Female: 21 years: Total population -- (Margin of Error)
70,71,B01001e34,SEX BY AGE: Female: 22 to 24 years: Total population -- (Estimate)
71,72,B01001m34,SEX BY AGE: Female: 22 to 24 years: Total population -- (Margin of Error)
72,73,B01001e35,SEX BY AGE: Female: 25 to 29 years: Total population -- (Estimate)
73,74,B01001m35,SEX BY AGE: Female: 25 to 29 years: Total population -- (Margin of Error)
74,75,B01001e36,SEX BY AGE: Female: 30 to 34 years: Total population -- (Estimate)
75,76,B01001m36,SEX BY AGE: Female: 30 to 34 years: Total population -- (Margin of Error)
76,77,B01001e37,SEX BY AGE: Female: 35 to 39 years: Total population -- (Estimate)
77,78,B01001m37,SEX BY AGE: Female: 35 to 39 years: Total population -- (Margin of Error)
78,79,B01001e38,SEX BY AGE: Female: 40 to 44 years: Total population -- (Estimate)
79,80,B01001m38,SEX BY AGE: Female: 40 to 44 years: Total population -- (Margin of Error)
80,81,B01001e39,SEX BY AGE: Female: 45 to 49 years: Total population -- (Estimate)
81,82,B01001m39,SEX BY AGE: Female: 45 to 49 years: Total population -- (Margin of Error)
82,83,B01001e40,SEX BY AGE: Female: 50 to 54 years: Total population -- (Estimate)
83,84,B01001m40,SEX BY AGE: Female: 50 to 54 years: Total population -- (Margin of Error)
84,85,B01001e41,SEX BY AGE: Female: 55 to 59 years: Total population -- (Estimate)
85,86,B01001m41,SEX BY AGE: Female: 55 to 59 years: Total population -- (Margin of Error)
86,87,B01001e42,SEX BY AGE: Female: 60 and 61 years: Total population -- (Estimate)
87,88,B01001m42,SEX BY AGE: Female: 60 and 61 years: Total population -- (Margin of Error)
88,89,B01001e43,SEX BY AGE: Female: 62 to 64 years: Total population -- (Estimate)
89,90,B01001m43,SEX BY AGE: Female: 62 to 64 years: Total population -- (Margin of Error)
90,91,B01001e44,SEX BY AGE: Female: 65 and 66 years: Total population -- (Estimate)
91,92,B01001m44,SEX BY AGE: Female: 65 and 66 years: Total population -- (Margin of Error)
92,93,B01001e45,SEX BY AGE: Female: 67 to 69 years: Total population -- (Estimate)
93,94,B01001m45,SEX BY AGE: Female: 67 to 69 years: Total population -- (Margin of Error)
94,95,B01001e46,SEX BY AGE: Female: 70 to 74 years: Total population -- (Estimate)
95,96,B01001m46,SEX BY AGE: Female: 70 to 74 years: Total population -- (Margin of Error)
96,97,B01001e47,SEX BY AGE: Female: 75 to 79 years: Total population -- (Estimate)
97,98,B01001m47,SEX BY AGE: Female: 75 to 79 years: Total population -- (Margin of Error)
98,99,B01001e48,SEX BY AGE: Female: 80 to 84 years: Total population -- (Estimate)
99,100,B01001m48,SEX BY AGE: Female: 80 to 84 years: Total population -- (Margin of Error)
100,101,B01001e49,SEX BY AGE: Female: 85 years and over: Total population -- (Estimate)
101,102,B01001m49,SEX BY AGE: Female: 85 years and over: Total population -- (Margin of Error)
102,103,B01002e1,MEDIAN AGE BY SEX: Total: Total population -- (Estimate)
103,104,B01002m1,MEDIAN AGE BY SEX: Total: Total population -- (Margin of Error)
104,105,B01002e2,MEDIAN AGE BY SEX: Male: Total population -- (Estimate)
105,106,B01002m2,MEDIAN AGE BY SEX: Male: Total population -- (Margin of Error)
106,107,B01002e3,MEDIAN AGE BY SEX: Female: Total population -- (Estimate)
107,108,B01002m3,MEDIAN AGE BY SEX: Female: Total population -- (Margin of Error)
108,109,B01002Ae1,MEDIAN AGE BY SEX (WHITE ALONE): Total: People who are White alone -- (Estimate)
109,110,B01002Am1,MEDIAN AGE BY SEX (WHITE ALONE): Total: People who are White alone -- (Margin of Error)
110,111,B01002Ae2,MEDIAN AGE BY SEX (WHITE ALONE): Male: People who are White alone -- (Estimate)
111,112,B01002Am2,MEDIAN AGE BY SEX (WHITE ALONE): Male: People who are White alone -- (Margin of Error)
112,113,B01002Ae3,MEDIAN AGE BY SEX (WHITE ALONE): Female: People who are White alone -- (Estimate)
113,114,B01002Am3,MEDIAN AGE BY SEX (WHITE ALONE): Female: People who are White alone -- (Margin of Error)
114,115,B01002Be1,MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE): Total: Black or African American alone -- (Estimate)
115,116,B01002Bm1,MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE): Total: Black or African American alone -- (Margin of Error)
116,117,B01002Be2,MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE): Male: Black or African American alone -- (Estimate)
117,118,B01002Bm2,MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE): Male: Black or African American alone -- (Margin of Error)
118,119,B01002Be3,MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE): Female: Black or African American alone -- (Estimate)
119,120,B01002Bm3,MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE): Female: Black or African American alone -- (Margin of Error)
120,121,B01002Ce1,MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE): Total: People who are American Indian and Alaska Native alone -- (Estimate)
121,122,B01002Cm1,MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE): Total: People who are American Indian and Alaska Native alone -- (Margin of Error)
122,123,B01002Ce2,MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE): Male: People who are American Indian and Alaska Native alone -- (Estimate)
123,124,B01002Cm2,MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE): Male: People who are American Indian and Alaska Native alone -- (Margin of Error)
124,125,B01002Ce3,MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE): Female: People who are American Indian and Alaska Native alone -- (Estimate)
125,126,B01002Cm3,MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE): Female: People who are American Indian and Alaska Native alone -- (Margin of Error)
126,127,B01002De1,MEDIAN AGE BY SEX (ASIAN ALONE): Total: People who are Asian alone -- (Estimate)
127,128,B01002Dm1,MEDIAN AGE BY SEX (ASIAN ALONE): Total: People who are Asian alone -- (Margin of Error)
128,129,B01002De2,MEDIAN AGE BY SEX (ASIAN ALONE): Male: People who are Asian alone -- (Estimate)
129,130,B01002Dm2,MEDIAN AGE BY SEX (ASIAN ALONE): Male: People who are Asian alone -- (Margin of Error)
130,131,B01002De3,MEDIAN AGE BY SEX (ASIAN ALONE): Female: People who are Asian alone -- (Estimate)
131,132,B01002Dm3,MEDIAN AGE BY SEX (ASIAN ALONE): Female: People who are Asian alone -- (Margin of Error)
132,133,B01002Ee1,MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Total: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
133,134,B01002Em1,MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Total: People who are Native Hawaiian and Other Pacific Islander alone -- (Margin of Error)
134,135,B01002Ee2,MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Male: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
135,136,B01002Em2,MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Male: People who are Native Hawaiian and Other Pacific Islander alone -- (Margin of Error)
136,137,B01002Ee3,MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Female: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
137,138,B01002Em3,MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Female: People who are Native Hawaiian and Other Pacific Islander alone -- (Margin of Error)
138,139,B01002Fe1,MEDIAN AGE BY SEX (SOME OTHER RACE ALONE): Total: People who are Some Other Race alone -- (Estimate)
139,140,B01002Fm1,MEDIAN AGE BY SEX (SOME OTHER RACE ALONE): Total: People who are Some Other Race alone -- (Margin of Error)
140,141,B01002Fe2,MEDIAN AGE BY SEX (SOME OTHER RACE ALONE): Male: People who are Some Other Race alone -- (Estimate)
141,142,B01002Fm2,MEDIAN AGE BY SEX (SOME OTHER RACE ALONE): Male: People who are Some Other Race alone -- (Margin of Error)
142,143,B01002Fe3,MEDIAN AGE BY SEX (SOME OTHER RACE ALONE): Female: People who are Some Other Race alone -- (Estimate)
143,144,B01002Fm3,MEDIAN AGE BY SEX (SOME OTHER RACE ALONE): Female: People who are Some Other Race alone -- (Margin of Error)
144,145,B01002Ge1,MEDIAN AGE BY SEX (TWO OR MORE RACES): Total: People who are Two or More Races -- (Estimate)
145,146,B01002Gm1,MEDIAN AGE BY SEX (TWO OR MORE RACES): Total: People who are Two or More Races -- (Margin of Error)
146,147,B01002Ge2,MEDIAN AGE BY SEX (TWO OR MORE RACES): Male: People who are Two or More Races -- (Estimate)
147,148,B01002Gm2,MEDIAN AGE BY SEX (TWO OR MORE RACES): Male: People who are Two or More Races -- (Margin of Error)
148,149,B01002Ge3,MEDIAN AGE BY SEX (TWO OR MORE RACES): Female: People who are Two or More Races -- (Estimate)
149,150,B01002Gm3,MEDIAN AGE BY SEX (TWO OR MORE RACES): Female: People who are Two or More Races -- (Margin of Error)
150,151,B01002He1,"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO): Total: White alone, not Hispanic or Latino population -- (Estimate)"
