,correlation,abs_correlation
SEX BY AGE: Female: Total population -- (Estimate),0.5143961228756877,0.5143961228756877
TOTAL POPULATION: Total: Total population -- (Estimate),0.5027078307060728,0.5027078307060728
SEX BY AGE: Female: 40 to 44 years: Total population -- (Estimate),0.4710190927017788,0.4710190927017788
SEX BY AGE: Female: 45 to 49 years: Total population -- (Estimate),0.4636360980019102,0.4636360980019102
SEX BY AGE: Male: Total population -- (Estimate),0.45461408447160817,0.45461408447160817
SEX BY AGE: Female: 50 to 54 years: Total population -- (Estimate),0.43530177058901454,0.43530177058901454
SEX BY AGE: Female: 35 to 39 years: Total population -- (Estimate),0.43118251332589397,0.43118251332589397
SEX BY AGE: Male: 40 to 44 years: Total population -- (Estimate),0.4162351044603118,0.4162351044603118
SEX BY AGE: Female: 55 to 59 years: Total population -- (Estimate),0.4143639438747693,0.4143639438747693
SEX BY AGE: Male: 50 to 54 years: Total population -- (Estimate),0.41183325956073813,0.41183325956073813
SEX BY AGE: Female: 30 to 34 years: Total population -- (Estimate),0.4094839574685471,0.4094839574685471
SEX BY AGE: Male: 45 to 49 years: Total population -- (Estimate),0.4081268831473788,0.4081268831473788
SEX BY AGE: Male: 55 to 59 years: Total population -- (Estimate),0.39862237731216354,0.39862237731216354
SEX BY AGE: Male: 35 to 39 years: Total population -- (Estimate),0.3760646739535764,0.3760646739535764
SEX BY AGE: Female: 45 to 49 years: Total population -- (Margin of Error),0.36033046888637354,0.36033046888637354
SEX BY AGE: Male: 62 to 64 years: Total population -- (Estimate),0.35981953084234886,0.35981953084234886
SEX BY AGE: Female: 40 to 44 years: Total population -- (Margin of Error),0.35818573052665015,0.35818573052665015
SEX BY AGE: Male: 70 to 74 years: Total population -- (Estimate),0.35579177689506963,0.35579177689506963
SEX BY AGE: Female: 62 to 64 years: Total population -- (Estimate),0.35401894027211983,0.35401894027211983
SEX BY AGE: Male: 50 to 54 years: Total population -- (Margin of Error),0.3520721024812999,0.3520721024812999
SEX BY AGE: Female: 67 to 69 years: Total population -- (Estimate),0.34885366243307897,0.34885366243307897
SEX BY AGE: Female: 55 to 59 years: Total population -- (Margin of Error),0.3473552461464385,0.3473552461464385
SEX BY AGE: Female: 50 to 54 years: Total population -- (Margin of Error),0.34579856699425027,0.34579856699425027
SEX BY AGE: Female: 70 to 74 years: Total population -- (Estimate),0.3454494048537483,0.3454494048537483
SEX BY AGE: Male: 55 to 59 years: Total population -- (Margin of Error),0.34262092725318427,0.34262092725318427
SEX BY AGE: Female: 35 to 39 years: Total population -- (Margin of Error),0.3318324863668093,0.3318324863668093
