,correlation,abs_correlation
TIME LEAVING HOME TO GO TO WORK: 800 a.m. to 829 a.m.: Workers 16 years and over who did not work at home -- (Estimate),0.666245413808054,0.666245413808054
TIME LEAVING HOME TO GO TO WORK: 830 a.m. to 859 a.m.: Workers 16 years and over who did not work at home -- (Estimate),0.6503392861418311,0.6503392861418311
"SEX OF WORKERS BY PLACE OF WORK--MINOR CIVIL DIVISION LEVEL FOR 12 SELECTED STATES (CT, ME, MA, MI, MN, NH, NJ, NY, PA, RI, VT, WI): Female: Workers 16 years and over -- (Estimate)",0.6437236721124,0.6437236721124
SEX OF WORKERS BY PLACE OF WORK--STATE AND COUNTY LEVEL: Female: Workers 16 years and over -- (Estimate),0.6437236721124,0.6437236721124
SEX OF WORKERS BY PLACE OF WORK--PLACE LEVEL: Female: Workers 16 years and over -- (Estimate),0.6437236721124,0.6437236721124
"SEX OF WORKERS BY PLACE OF WORK--MINOR CIVIL DIVISION LEVEL FOR 12 SELECTED STATES (CT, ME, MA, MI, MN, NH, NJ, NY, PA, RI, VT, WI): Female: Not living in the 12 selected states: Workers 16 years and over -- (Estimate).1",0.6437236721124,0.6437236721124
SEX OF WORKERS BY PLACE OF WORK--STATE AND COUNTY LEVEL: Female: Worked in state of residence: Workers 16 years and over -- (Estimate).1,0.641879652744726,0.641879652744726
TIME LEAVING HOME TO GO TO WORK: 900 a.m. to 959 a.m.: Workers 16 years and over who did not work at home -- (Estimate),0.6222248675604188,0.6222248675604188
SEX OF WORKERS BY PLACE OF WORK--PLACE LEVEL: Total: Workers 16 years and over -- (Estimate),0.6145198113392192,0.6145198113392192
"SEX OF WORKERS BY PLACE OF WORK--MINOR CIVIL DIVISION LEVEL FOR 12 SELECTED STATES (CT, ME, MA, MI, MN, NH, NJ, NY, PA, RI, VT, WI): Total: Workers 16 years and over -- (Estimate)",0.6145198113392192,0.6145198113392192
MEANS OF TRANSPORTATION TO WORK: Total: Workers 16 years and over -- (Estimate),0.6145198113392192,0.6145198113392192
"SEX OF WORKERS BY PLACE OF WORK--MINOR CIVIL DIVISION LEVEL FOR 12 SELECTED STATES (CT, ME, MA, MI, MN, NH, NJ, NY, PA, RI, VT, WI): Female: Not living in the 12 selected states: Workers 16 years and over -- (Estimate)",0.6145198113392192,0.6145198113392192
SEX OF WORKERS BY PLACE OF WORK--PLACE LEVEL: Female: Living in a place: Workers 16 years and over -- (Estimate).1,0.6140792929040857,0.6140792929040857
SEX OF WORKERS BY PLACE OF WORK--PLACE LEVEL: Female: Living in a place: Workers 16 years and over -- (Estimate),0.6125565759345557,0.6125565759345557
SEX OF WORKERS BY PLACE OF WORK--STATE AND COUNTY LEVEL: Female: Worked in state of residence: Workers 16 years and over -- (Estimate),0.6120541277488926,0.6120541277488926
PLACE OF WORK FOR WORKERS 16 YEARS AND OVER--METROPOLITAN STATISTICAL AREA LEVEL: Total: Workers 16 years and over living in a Metropolitan Statistical Area -- (Estimate),0.6076226122410708,0.6076226122410708
TIME LEAVING HOME TO GO TO WORK: 730 a.m. to 759 a.m.: Workers 16 years and over who did not work at home -- (Estimate),0.5989102288931929,0.5989102288931929
"MEANS OF TRANSPORTATION TO WORK: Car, truck, or van: Drove alone: Workers 16 years and over -- (Estimate)",0.5952468839996101,0.5952468839996101
"MEANS OF TRANSPORTATION TO WORK BY TRAVEL TIME TO WORK: Car, truck, or van: Drove alone: Workers 16 years and over who did not work at home -- (Estimate)",0.5952468839996101,0.5952468839996101
TRAVEL TIME TO WORK: Total: Workers 16 years and over who did not work at home -- (Estimate),0.5887328696065588,0.5887328696065588
MEANS OF TRANSPORTATION TO WORK BY TRAVEL TIME TO WORK: Total: Workers 16 years and over who did not work at home -- (Estimate),0.5887328696065588,0.5887328696065588
TIME LEAVING HOME TO GO TO WORK: Total: Workers 16 years and over who did not work at home -- (Estimate),0.5887328696065588,0.5887328696065588
SEX OF WORKERS BY PLACE OF WORK--STATE AND COUNTY LEVEL: Female: Worked in state of residence: Worked in county of residence: Workers 16 years and over -- (Estimate).1,0.5804839983991736,0.5804839983991736
SEX OF WORKERS BY PLACE OF WORK--PLACE LEVEL: Male: Living in a place: Workers 16 years and over -- (Estimate),0.5712860227471434,0.5712860227471434
"MEANS OF TRANSPORTATION TO WORK: Car, truck, or van: Workers 16 years and over -- (Estimate)",0.5636532828526052,0.5636532828526052
"MEANS OF TRANSPORTATION TO WORK BY TRAVEL TIME TO WORK: Car, truck, or van: Workers 16 years and over who did not work at home -- (Estimate)",0.5636532828526052,0.5636532828526052
MEANS OF TRANSPORTATION TO WORK: Worked at home: Workers 16 years and over -- (Estimate),0.5426978079079635,0.5426978079079635
SEX OF WORKERS BY PLACE OF WORK--STATE AND COUNTY LEVEL: Female: Worked in state of residence: Worked in county of residence: Workers 16 years and over -- (Estimate),0.5370871505388602,0.5370871505388602
"SEX OF WORKERS BY PLACE OF WORK--MINOR CIVIL DIVISION LEVEL FOR 12 SELECTED STATES (CT, ME, MA, MI, MN, NH, NJ, NY, PA, RI, VT, WI): Male: Workers 16 years and over -- (Estimate)",0.536628898942909,0.536628898942909
"SEX OF WORKERS BY PLACE OF WORK--MINOR CIVIL DIVISION LEVEL FOR 12 SELECTED STATES (CT, ME, MA, MI, MN, NH, NJ, NY, PA, RI, VT, WI): Male: Not living in the 12 selected states: Workers 16 years and over -- (Estimate)",0.536628898942909,0.536628898942909
SEX OF WORKERS BY PLACE OF WORK--STATE AND COUNTY LEVEL: Male: Workers 16 years and over -- (Estimate),0.536628898942909,0.536628898942909
SEX OF WORKERS BY PLACE OF WORK--PLACE LEVEL: Male: Workers 16 years and over -- (Estimate),0.536628898942909,0.536628898942909
SEX OF WORKERS BY PLACE OF WORK--STATE AND COUNTY LEVEL: Male: Worked in state of residence: Workers 16 years and over -- (Estimate),0.5334395601893747,0.5334395601893747
TIME LEAVING HOME TO GO TO WORK: 830 a.m. to 859 a.m.: Workers 16 years and over who did not work at home -- (Margin of Error),0.5303364215989069,0.5303364215989069
TIME LEAVING HOME TO GO TO WORK: 800 a.m. to 829 a.m.: Workers 16 years and over who did not work at home -- (Margin of Error),0.4979281229049369,0.4979281229049369
TIME LEAVING HOME TO GO TO WORK: 900 a.m. to 959 a.m.: Workers 16 years and over who did not work at home -- (Margin of Error),0.49683727939779937,0.49683727939779937
MEANS OF TRANSPORTATION TO WORK BY TRAVEL TIME TO WORK: 400 p.m. to 1159 p.m.: 900 a.m. to 1159 p.m.: Worked outside county of residence: 35 to 44 minutes: Workers 16 years and over who did not work at home -- (Estimate),0.4785047968791509,0.4785047968791509
MEANS OF TRANSPORTATION TO WORK: Worked at home: Workers 16 years and over -- (Margin of Error),0.47391465734546295,0.47391465734546295
TRAVEL TIME TO WORK: 45 to 59 minutes: Workers 16 years and over who did not work at home -- (Estimate),0.47181395171108853,0.47181395171108853
MEANS OF TRANSPORTATION TO WORK BY TRAVEL TIME TO WORK: 400 p.m. to 1159 p.m.: 900 a.m. to 1159 p.m.: Worked outside county of residence: 45 to 59 minutes: Workers 16 years and over who did not work at home -- (Estimate),0.47181395171108853,0.47181395171108853
SEX OF WORKERS BY PLACE OF WORK--PLACE LEVEL: Female: Living in a place: Worked in place of residence: Workers 16 years and over -- (Estimate),0.4714817542766692,0.4714817542766692
SEX OF WORKERS BY PLACE OF WORK--PLACE LEVEL: Female: Living in a place: Worked in place of residence: Workers 16 years and over -- (Estimate).1,0.46707200926212483,0.46707200926212483
TIME LEAVING HOME TO GO TO WORK: 730 a.m. to 759 a.m.: Workers 16 years and over who did not work at home -- (Margin of Error),0.46130419470469114,0.46130419470469114
TIME LEAVING HOME TO GO TO WORK: 700 a.m. to 729 a.m.: Workers 16 years and over who did not work at home -- (Estimate),0.4595266637203393,0.4595266637203393
"MEANS OF TRANSPORTATION TO WORK BY TRAVEL TIME TO WORK: Car, truck, or van: Drove alone: Worked outside county of residence: 35 to 44 minutes: Workers 16 years and over who did not work at home -- (Estimate)",0.458125513070036,0.458125513070036
"MEANS OF TRANSPORTATION TO WORK BY TRAVEL TIME TO WORK: Car, truck, or van: 900 a.m. to 1159 p.m.: Worked outside county of residence: 35 to 44 minutes: Workers 16 years and over who did not work at home -- (Estimate)",0.45028566623601013,0.45028566623601013
SEX OF WORKERS BY PLACE OF WORK--PLACE LEVEL: Female: Living in a place: Worked outside place of residence: Workers 16 years and over -- (Estimate),0.45005483569933563,0.45005483569933563
"MEANS OF TRANSPORTATION TO WORK BY TRAVEL TIME TO WORK: Car, truck, or van: Drove alone: Worked outside county of residence: 45 to 59 minutes: Workers 16 years and over who did not work at home -- (Estimate)",0.4478927305945011,0.4478927305945011
SEX OF WORKERS BY PLACE OF WORK--PLACE LEVEL: Female: Living in a place: Worked outside place of residence: Workers 16 years and over -- (Estimate).1,0.4477895889410774,0.4477895889410774
SEX OF WORKERS BY PLACE OF WORK--STATE AND COUNTY LEVEL: Male: Worked in state of residence: Worked in county of residence: Workers 16 years and over -- (Estimate),0.447595372964489,0.447595372964489
MEANS OF TRANSPORTATION TO WORK BY TRAVEL TIME TO WORK: 400 p.m. to 1159 p.m.: 900 a.m. to 1159 p.m.: Worked outside county of residence: 20 to 24 minutes: Workers 16 years and over who did not work at home -- (Estimate),0.4412455587341273,0.4412455587341273
TRAVEL TIME TO WORK: 20 to 24 minutes: Workers 16 years and over who did not work at home -- (Estimate),0.4412455587341273,0.4412455587341273
"MEANS OF TRANSPORTATION TO WORK BY TRAVEL TIME TO WORK: Car, truck, or van: 900 a.m. to 1159 p.m.: Worked outside county of residence: 45 to 59 minutes: Workers 16 years and over who did not work at home -- (Estimate)",0.43981804126838603,0.43981804126838603
MEANS OF TRANSPORTATION TO WORK BY TRAVEL TIME TO WORK: 400 p.m. to 1159 p.m.: 900 a.m. to 1159 p.m.: Worked outside county of residence: 25 to 29 minutes: Workers 16 years and over who did not work at home -- (Estimate),0.43668039986686563,0.43668039986686563
TRAVEL TIME TO WORK: 25 to 29 minutes: Workers 16 years and over who did not work at home -- (Estimate),0.43668039986686563,0.43668039986686563
TRAVEL TIME TO WORK: 30 to 34 minutes: Workers 16 years and over who did not work at home -- (Estimate),0.4349696545553126,0.4349696545553126
MEANS OF TRANSPORTATION TO WORK BY TRAVEL TIME TO WORK: 400 p.m. to 1159 p.m.: 900 a.m. to 1159 p.m.: Worked outside county of residence: 30 to 34 minutes: Workers 16 years and over who did not work at home -- (Estimate),0.4349696545553126,0.4349696545553126
"MEANS OF TRANSPORTATION TO WORK BY TRAVEL TIME TO WORK: Car, truck, or van: Drove alone: Worked outside county of residence: 20 to 24 minutes: Workers 16 years and over who did not work at home -- (Estimate)",0.43395065289900725,0.43395065289900725
"MEANS OF TRANSPORTATION TO WORK BY TRAVEL TIME TO WORK: Car, truck, or van: Drove alone: Worked outside county of residence: 30 to 34 minutes: Workers 16 years and over who did not work at home -- (Estimate)",0.43191266747687607,0.43191266747687607
SEX OF WORKERS BY PLACE OF WORK--PLACE LEVEL: Male: Living in a place: Worked in place of residence: Workers 16 years and over -- (Estimate),0.42801162375519436,0.42801162375519436
SEX OF WORKERS BY PLACE OF WORK--PLACE LEVEL: Male: Living in a place: Worked outside place of residence: Workers 16 years and over -- (Estimate),0.42467043104345714,0.42467043104345714
"MEANS OF TRANSPORTATION TO WORK BY TRAVEL TIME TO WORK: Car, truck, or van: Drove alone: Worked outside county of residence: 25 to 29 minutes: Workers 16 years and over who did not work at home -- (Estimate)",0.4180951915121068,0.4180951915121068
"SEX OF WORKERS BY PLACE OF WORK--MINOR CIVIL DIVISION LEVEL FOR 12 SELECTED STATES (CT, ME, MA, MI, MN, NH, NJ, NY, PA, RI, VT, WI): Female: Workers 16 years and over -- (Margin of Error)",0.41540113101043896,0.41540113101043896
SEX OF WORKERS BY PLACE OF WORK--STATE AND COUNTY LEVEL: Female: Workers 16 years and over -- (Margin of Error),0.41540113101043896,0.41540113101043896
"SEX OF WORKERS BY PLACE OF WORK--MINOR CIVIL DIVISION LEVEL FOR 12 SELECTED STATES (CT, ME, MA, MI, MN, NH, NJ, NY, PA, RI, VT, WI): Female: Not living in the 12 selected states: Workers 16 years and over -- (Margin of Error).1",0.41540113101043896,0.41540113101043896
SEX OF WORKERS BY PLACE OF WORK--PLACE LEVEL: Female: Workers 16 years and over -- (Margin of Error),0.41540113101043896,0.41540113101043896
"MEANS OF TRANSPORTATION TO WORK BY TRAVEL TIME TO WORK: Car, truck, or van: 900 a.m. to 1159 p.m.: Worked outside county of residence: 30 to 34 minutes: Workers 16 years and over who did not work at home -- (Estimate)",0.41448390226414755,0.41448390226414755
