,correlation,abs_correlation
HOUSEHOLDS BY PRESENCE OF NONRELATIVES: Households with no nonrelatives: Households -- (Estimate),0.7247645794021209,0.7247645794021209
HOUSEHOLDS BY PRESENCE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE: Households with no people under 18 years: Households -- (Estimate),0.7167041236808734,0.7167041236808734
HOUSEHOLDS BY PRESENCE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE: Total: Households -- (Estimate),0.7163101525134119,0.7163101525134119
HOUSEHOLDS BY PRESENCE OF PEOPLE 60 YEARS AND OVER BY HOUSEHOLD TYPE: Total: Households -- (Estimate),0.7163101525134119,0.7163101525134119
HOUSEHOLDS BY PRESENCE OF NONRELATIVES: Total: Households -- (Estimate),0.7163101525134119,0.7163101525134119
"HOUSEHOLDS BY PRESENCE OF PEOPLE 65 YEARS AND OVER, HOUSEHOLD SIZE AND HOUSEHOLD TYPE: Total: Households -- (Estimate)",0.7163101525134119,0.7163101525134119
HOUSEHOLD TYPE BY HOUSEHOLD SIZE: Total: Households -- (Estimate),0.7163101525134119,0.7163101525134119
"HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (WHITE ALONE, NOT HISPANIC OR LATINO): Total: Households with a householder who is White alone, not Hispanic or Latino -- (Estimate)",0.7162164943893162,0.7162164943893162
"HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (WHITE ALONE, NOT HISPANIC OR LATINO): Total: Population in households with a householder who is White alone, not Hispanic or Latino -- (Estimate)",0.6957368488166732,0.6957368488166732
HOUSEHOLDS BY PRESENCE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE: Households with no people under 18 years: Family households: Married-couple family: Households -- (Estimate),0.6927334037300258,0.6927334037300258
FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN UNDER 18 YEARS: Married-couple family: No related children of the householder under 18 years: Families -- (Estimate),0.6916299977538655,0.6916299977538655
