,correlation,abs_correlation
AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS): Total: Households -- (Estimate),0.9053446230944112,0.9053446230944112
AGGREGATE EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) FOR HOUSEHOLDS: Total: Households -- (Estimate),0.9044655768951186,0.9044655768951186
AGGREGATE INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS): Total: Population 15 years and over -- (Estimate),0.9037887349887991,0.9037887349887991
AGGREGATE WAGE OR SALARY INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) FOR HOUSEHOLDS: Total: Households -- (Estimate),0.9010330207033722,0.9010330207033722
"INTEREST, DIVIDENDS, OR NET RENTAL INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS: With interest, dividends, or net rental income: Households -- (Estimate)",0.8262772240187868,0.8262772240187868
AGGREGATE FAMILY INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS): Total: Families -- (Estimate),0.8213059502973866,0.8213059502973866
"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS): $200,000 or more: Households -- (Estimate)",0.8006672817993056,0.8006672817993056
AGGREGATE INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 15 YEARS AND OVER (WHITE ALONE): Total: White alone population 15 years and over -- (Estimate),0.797015775786547,0.797015775786547
AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE HOUSEHOLDER): Total: Households with a householder who is White alone -- (Estimate),0.7967594033876522,0.7967594033876522
"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS): $150,000 to $199,999: Households -- (Estimate)",0.7766452244318708,0.7766452244318708
"FAMILY INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS): $200,000 or more: Families -- (Estimate)",0.7600404582676086,0.7600404582676086
"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS): $200,000 or more: Households -- (Margin of Error)",0.7578571145083447,0.7578571145083447
"AGGREGATE INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 15 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO): Total: White alone, not Hispanic or Latino population 15 years and over -- (Estimate)",0.7555642471955307,0.7555642471955307
SUPPLEMENTAL SECURITY INCOME (SSI) IN THE PAST 12 MONTHS FOR HOUSEHOLDS: No Supplemental Security Income (SSI): Households -- (Estimate),0.7436077732252434,0.7436077732252434
PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS: No public assistance income: Households -- (Estimate),0.7419864554499124,0.7419864554499124
"AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER): Total: Households with a householder who is White alone, not Hispanic or Latino -- (Estimate)",0.737247583510986,0.737247583510986
"INTEREST, DIVIDENDS, OR NET RENTAL INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS: With interest, dividends, or net rental income: Households -- (Margin of Error)",0.7362798451751857,0.7362798451751857
OTHER TYPES OF INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS: No other types of income: Households -- (Estimate),0.7336430444762773,0.7336430444762773
"FAMILY INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS): $200,000 or more: Families -- (Margin of Error)",0.7266375570885476,0.7266375570885476
EARNINGS IN THE PAST 12 MONTHS FOR HOUSEHOLDS: With earnings: Households -- (Estimate),0.7215357002009792,0.7215357002009792
