,correlation,abs_correlation
AGE BY VETERAN STATUS BY POVERTY STATUS IN THE PAST 12 MONTHS BY DISABILITY STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: 18 to 64 years: Nonveteran: Income in the past 12 months at or above poverty level: No disability: Civilian population 18 years and over for whom poverty status is determined -- (Estimate),0.6490206445762453,0.6490206445762453
AGE BY VETERAN STATUS BY POVERTY STATUS IN THE PAST 12 MONTHS BY DISABILITY STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: 18 to 64 years: Nonveteran: Income in the past 12 months at or above poverty level: Civilian population 18 years and over for whom poverty status is determined -- (Estimate),0.6293095713680148,0.6293095713680148
AGE BY VETERAN STATUS BY POVERTY STATUS IN THE PAST 12 MONTHS BY DISABILITY STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: Total: Civilian population 18 years and over for whom poverty status is determined -- (Estimate),0.6013910458752416,0.6013910458752416
SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: Female: Civilian population 18 years and over -- (Estimate),0.5804920071531118,0.5804920071531118
SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: Female: 75 years and over: Nonveteran: Civilian population 18 years and over -- (Estimate),0.5798936895588688,0.5798936895588688
SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: Female: 35 to 54 years: Civilian population 18 years and over -- (Estimate),0.5684349566217262,0.5684349566217262
SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: Female: 35 to 54 years: Nonveteran: Civilian population 18 years and over -- (Estimate),0.5668064893122582,0.5668064893122582
SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: Female --: Other: Nonveteran: Civilian population 18 years and over -- (Estimate),0.5595724496015434,0.5595724496015434
AGE BY VETERAN STATUS BY POVERTY STATUS IN THE PAST 12 MONTHS BY DISABILITY STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: 18 to 64 years: Civilian population 18 years and over for whom poverty status is determined -- (Estimate),0.5503241219411984,0.5503241219411984
AGE BY VETERAN STATUS BY POVERTY STATUS IN THE PAST 12 MONTHS BY DISABILITY STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: 18 to 64 years: Nonveteran: Civilian population 18 years and over for whom poverty status is determined -- (Estimate),0.5471879940569618,0.5471879940569618
AGE BY VETERAN STATUS BY POVERTY STATUS IN THE PAST 12 MONTHS BY DISABILITY STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: 65 years and over: Nonveteran: Income in the past 12 months at or above poverty level: No disability: Civilian population 18 years and over for whom poverty status is determined -- (Estimate),0.5355256008064928,0.5355256008064928
AGE BY VETERAN STATUS BY POVERTY STATUS IN THE PAST 12 MONTHS BY DISABILITY STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: 65 years and over: Nonveteran: Income in the past 12 months at or above poverty level: Civilian population 18 years and over for whom poverty status is determined -- (Estimate),0.503306835191846,0.503306835191846
SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: Male: Civilian population 18 years and over -- (Estimate),0.4979690077669671,0.4979690077669671
SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: Female: 55 to 64 years: Civilian population 18 years and over -- (Estimate),0.4918700534670328,0.4918700534670328
SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: Female: 55 to 64 years: Nonveteran: Civilian population 18 years and over -- (Estimate),0.4913774830127781,0.4913774830127781
SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: Male: 35 to 54 years: Civilian population 18 years and over -- (Estimate),0.48439652473465306,0.48439652473465306
SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: Male: 55 to 64 years: Nonveteran: Civilian population 18 years and over -- (Estimate),0.4815522567070366,0.4815522567070366
AGE BY VETERAN STATUS BY POVERTY STATUS IN THE PAST 12 MONTHS BY DISABILITY STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: 65 years and over: Nonveteran: Civilian population 18 years and over for whom poverty status is determined -- (Estimate),0.4785678428904684,0.4785678428904684
SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: Male: 55 to 64 years: Civilian population 18 years and over -- (Estimate),0.47706187223859275,0.47706187223859275
AGE BY VETERAN STATUS BY POVERTY STATUS IN THE PAST 12 MONTHS BY DISABILITY STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: 65 years and over: Civilian population 18 years and over for whom poverty status is determined -- (Estimate),0.4755632838884978,0.4755632838884978
SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: Male: 35 to 54 years: Nonveteran: Civilian population 18 years and over -- (Estimate),0.4745909878122151,0.4745909878122151
SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: Male: Other: Nonveteran: Civilian population 18 years and over -- (Estimate),0.4684476711836455,0.4684476711836455
AGE BY VETERAN STATUS BY POVERTY STATUS IN THE PAST 12 MONTHS BY DISABILITY STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: 65 years and over: Nonveteran: Income in the past 12 months at or above poverty level: No disability: Civilian population 18 years and over for whom poverty status is determined -- (Margin of Error),0.467432818251817,0.467432818251817
SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: Male: 65 to 74 years: Civilian population 18 years and over -- (Estimate),0.4533722219090193,0.4533722219090193
SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: Female: 65 to 74 years: Civilian population 18 years and over -- (Estimate),0.4505847889424913,0.4505847889424913
SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: Female: 65 to 74 years: Nonveteran: Civilian population 18 years and over -- (Estimate),0.4500770575304269,0.4500770575304269
SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: Male: 65 to 74 years: Nonveteran: Civilian population 18 years and over -- (Estimate),0.4270999930769824,0.4270999930769824
AGE BY VETERAN STATUS BY POVERTY STATUS IN THE PAST 12 MONTHS BY DISABILITY STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: 65 years and over: Nonveteran: Income in the past 12 months at or above poverty level: Civilian population 18 years and over for whom poverty status is determined -- (Margin of Error),0.42692824587028966,0.42692824587028966
AGE BY VETERAN STATUS BY POVERTY STATUS IN THE PAST 12 MONTHS BY DISABILITY STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: 65 years and over: Civilian population 18 years and over for whom poverty status is determined -- (Margin of Error),0.4061681283550909,0.4061681283550909
AGE BY VETERAN STATUS BY POVERTY STATUS IN THE PAST 12 MONTHS BY DISABILITY STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: 65 years and over: Nonveteran: Civilian population 18 years and over for whom poverty status is determined -- (Margin of Error),0.40358428234550947,0.40358428234550947
SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: Female: 55 to 64 years: Civilian population 18 years and over -- (Margin of Error),0.3962498752284683,0.3962498752284683
SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: Male: Other: Veteran: Civilian population 18 years and over -- (Estimate),0.3958032095171549,0.3958032095171549
SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: Female: 55 to 64 years: Nonveteran: Civilian population 18 years and over -- (Margin of Error),0.39566371423737573,0.39566371423737573
SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: Female --: Other: Veteran: Civilian population 18 years and over -- (Estimate),0.3954860264181381,0.3954860264181381
PERIOD OF MILITARY SERVICE FOR CIVILIAN VETERANS 18 YEARS AND OVER: Total: Civilian veterans 18 years and over -- (Estimate),0.3954860264181381,0.3954860264181381
SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: Female: 35 to 54 years: Civilian population 18 years and over -- (Margin of Error),0.39336416790913814,0.39336416790913814
SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: Female: 35 to 54 years: Nonveteran: Civilian population 18 years and over -- (Margin of Error),0.3927267189659596,0.3927267189659596
SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER: Female: 65 to 74 years: Civilian population 18 years and over -- (Margin of Error),0.3889429064634144,0.3889429064634144
