,correlation,abs_correlation
PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY NUMBER OF WORKERS IN FAMILY IN THE PAST 12 MONTHS: No own children of the householder under 18 years: Married-couple family: 2 workers: Husband and wife worked: Families -- (Estimate),0.7089263719212253,0.7089263719212253
PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY NUMBER OF WORKERS IN FAMILY IN THE PAST 12 MONTHS: No own children of the householder under 18 years: Married-couple family: 2 workers: Families -- (Estimate),0.6901334145851518,0.6901334145851518
PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY EMPLOYMENT STATUS: No children under 18 years: Married-couple family: Husband in labor force: Employed or in Armed Forces: Opposite-sex married-couple families and families maintained by women and men with no spouse present -- (Estimate),0.6894752505710993,0.6894752505710993
PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY EMPLOYMENT STATUS: No children under 18 years: Married-couple family: Husband in labor force: Opposite-sex married-couple families and families maintained by women and men with no spouse present -- (Estimate),0.6890816673544807,0.6890816673544807
POVERTY STATUS IN THE PAST 12 MONTHS BY DISABILITY STATUS BY EMPLOYMENT STATUS FOR THE POPULATION 20 TO 64 YEARS: Income in the past 12 months at or above poverty level: No disability: In labor force: Civilian: Employed: Population 20 to 64 years for whom poverty status is determined -- (Estimate),0.6838691028828305,0.6838691028828305
PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY EMPLOYMENT STATUS: No children under 18 years: Married-couple family: Husband in labor force: Employed or in Armed Forces: Wife in labor force: Opposite-sex married-couple families and families maintained by women and men with no spouse present -- (Estimate),0.6710718467883898,0.6710718467883898
POVERTY STATUS IN THE PAST 12 MONTHS BY DISABILITY STATUS BY EMPLOYMENT STATUS FOR THE POPULATION 20 TO 64 YEARS: Income in the past 12 months at or above poverty level: No disability: In labor force: Civilian: Population 20 to 64 years for whom poverty status is determined -- (Estimate),0.669033685300908,0.669033685300908
PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY EMPLOYMENT STATUS: No children under 18 years: Married-couple family: Husband in labor force: Employed or in Armed Forces: Wife in labor force: Employed or in Armed Forces: Opposite-sex married-couple families and families maintained by women and men with no spouse present -- (Estimate),0.6687520090697682,0.6687520090697682
POVERTY STATUS IN THE PAST 12 MONTHS BY DISABILITY STATUS BY EMPLOYMENT STATUS FOR THE POPULATION 20 TO 64 YEARS: Income in the past 12 months at or above poverty level: No disability: In labor force: Population 20 to 64 years for whom poverty status is determined -- (Estimate),0.6685599363308734,0.6685599363308734
PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY NUMBER OF WORKERS IN FAMILY IN THE PAST 12 MONTHS: No own children of the householder under 18 years: Married-couple family: Families -- (Estimate),0.667195615272632,0.667195615272632
PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY EMPLOYMENT STATUS: No children under 18 years: Married-couple family: Opposite-sex married-couple families and families maintained by women and men with no spouse present -- (Estimate),0.6618480342161832,0.6618480342161832
POVERTY STATUS IN THE PAST 12 MONTHS BY DISABILITY STATUS BY EMPLOYMENT STATUS FOR THE POPULATION 20 TO 64 YEARS: Income in the past 12 months at or above poverty level: No disability: Population 20 to 64 years for whom poverty status is determined -- (Estimate),0.6612619318741084,0.6612619318741084
EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER: In labor force: Civilian labor force: Employed: Population 16 years and over -- (Estimate),0.6513900485483102,0.6513900485483102
POVERTY STATUS IN THE PAST 12 MONTHS BY DISABILITY STATUS BY EMPLOYMENT STATUS FOR THE POPULATION 20 TO 64 YEARS: Income in the past 12 months at or above poverty level: Population 20 to 64 years for whom poverty status is determined -- (Estimate),0.6407740434955558,0.6407740434955558
SEX BY WORK STATUS IN THE PAST 12 MONTHS BY USUAL HOURS WORKED PER WEEK IN THE PAST 12 MONTHS BY WEEKS WORKED IN THE PAST 12 MONTHS FOR THE POPULATION 16 TO 64 YEARS: Female: Householder did not work in the past 12 months: Worked in the past 12 months: Usually worked 35 or more hours per week: 50 to 52 weeks: Population 16 to 64 years -- (Estimate),0.6396161913153707,0.6396161913153707
SEX BY WORK STATUS IN THE PAST 12 MONTHS BY USUAL HOURS WORKED PER WEEK IN THE PAST 12 MONTHS BY WEEKS WORKED IN THE PAST 12 MONTHS FOR THE POPULATION 16 TO 64 YEARS: Female: Householder did not work in the past 12 months: Worked in the past 12 months: Usually worked 35 or more hours per week: Population 16 to 64 years -- (Estimate),0.6396072442750456,0.6396072442750456
PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY AGE OF OWN CHILDREN UNDER 18 YEARS BY EMPLOYMENT STATUS FOR FEMALES 20 TO 64 YEARS: No own children of the householder under 18 years: In labor force: Civilian: Employed: Females 20 to 64 years in households -- (Estimate),0.6276058643536604,0.6276058643536604
EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER: In labor force: Civilian labor force: Population 16 years and over -- (Estimate),0.618389319839696,0.618389319839696
PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY NUMBER OF WORKERS IN FAMILY IN THE PAST 12 MONTHS: With own children of the householder under 18 years: Married-couple family: 2 workers: Husband and wife worked: Families -- (Estimate),0.6182608412708024,0.6182608412708024
SEX BY WORK STATUS IN THE PAST 12 MONTHS BY USUAL HOURS WORKED PER WEEK IN THE PAST 12 MONTHS BY WEEKS WORKED IN THE PAST 12 MONTHS FOR THE POPULATION 16 TO 64 YEARS: Female: Householder did not work in the past 12 months: Worked in the past 12 months: Population 16 to 64 years -- (Estimate),0.6174342035157664,0.6174342035157664
PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY NUMBER OF WORKERS IN FAMILY IN THE PAST 12 MONTHS: No own children of the householder under 18 years: Families -- (Estimate),0.6123367918274899,0.6123367918274899
PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY AGE OF OWN CHILDREN UNDER 18 YEARS BY EMPLOYMENT STATUS FOR FEMALES 20 TO 64 YEARS: No own children of the householder under 18 years: In labor force: Females 20 to 64 years in households -- (Estimate),0.6107498913453444,0.6107498913453444
PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY AGE OF OWN CHILDREN UNDER 18 YEARS BY EMPLOYMENT STATUS FOR FEMALES 20 TO 64 YEARS: No own children of the householder under 18 years: In labor force: Civilian: Females 20 to 64 years in households -- (Estimate),0.6104805482090819,0.6104805482090819
PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY EMPLOYMENT STATUS: No children under 18 years: Opposite-sex married-couple families and families maintained by women and men with no spouse present -- (Estimate),0.6068478102970649,0.6068478102970649
"FULL-TIME, YEAR-ROUND WORK STATUS IN THE PAST 12 MONTHS BY AGE FOR THE POPULATION 16 YEARS AND OVER: 45 to 54 years: Worked in the past 12 months: Population 16 years and over -- (Estimate)",0.5992487804822405,0.5992487804822405
