,correlation,abs_correlation
TYPES OF HEALTH INSURANCE COVERAGE BY AGE: 35 to 64 years: With one type of health insurance coverage: With employer-based health insurance only: Civilian noninstitutionalized population -- (Estimate),0.7468014322914323,0.7468014322914323
TYPES OF HEALTH INSURANCE COVERAGE BY AGE: 35 to 64 years: With one type of health insurance coverage: Civilian noninstitutionalized population -- (Estimate),0.7243162033638872,0.7243162033638872
TYPES OF HEALTH INSURANCE COVERAGE BY AGE: 35 to 64 years: With one type of health insurance coverage: With direct-purchase health insurance only: Civilian noninstitutionalized population -- (Estimate),0.6889773044913187,0.6889773044913187
TYPES OF HEALTH INSURANCE COVERAGE BY AGE: 35 to 64 years: Civilian noninstitutionalized population -- (Estimate),0.6247375101324085,0.6247375101324085
TYPES OF HEALTH INSURANCE COVERAGE BY AGE: Under 18 years: With one type of health insurance coverage: With employer-based health insurance only: Civilian noninstitutionalized population -- (Estimate),0.601246018980038,0.601246018980038
TYPES OF HEALTH INSURANCE COVERAGE BY AGE: 35 to 64 years: With one type of health insurance coverage: With direct-purchase health insurance only: Civilian noninstitutionalized population -- (Margin of Error),0.5803373355488483,0.5803373355488483
TYPES OF HEALTH INSURANCE COVERAGE BY AGE: 35 to 64 years: With one type of health insurance coverage: With employer-based health insurance only: Civilian noninstitutionalized population -- (Margin of Error),0.5564294550845585,0.5564294550845585
TYPES OF HEALTH INSURANCE COVERAGE BY AGE: 18 to 34 years: With one type of health insurance coverage: With employer-based health insurance only: Civilian noninstitutionalized population -- (Estimate),0.5214562910486054,0.5214562910486054
TYPES OF HEALTH INSURANCE COVERAGE BY AGE: Under 18 years: With one type of health insurance coverage: With direct-purchase health insurance only: Civilian noninstitutionalized population -- (Estimate),0.4762800254453001,0.4762800254453001
TYPES OF HEALTH INSURANCE COVERAGE BY AGE: 65 years and over: Civilian noninstitutionalized population -- (Estimate),0.47555403889439263,0.47555403889439263
TYPES OF HEALTH INSURANCE COVERAGE BY AGE: 35 to 64 years: With one type of health insurance coverage: Civilian noninstitutionalized population -- (Margin of Error),0.4702046799423368,0.4702046799423368
TYPES OF HEALTH INSURANCE COVERAGE BY AGE: 65 years and over: With two or more types of health insurance coverage: Civilian noninstitutionalized population -- (Estimate),0.4463162917722882,0.4463162917722882
TYPES OF HEALTH INSURANCE COVERAGE BY AGE: 65 years and over: With two or more types of health insurance coverage: With employer-based and Medicare coverage: Civilian noninstitutionalized population -- (Estimate),0.43258128423497905,0.43258128423497905
TYPES OF HEALTH INSURANCE COVERAGE BY AGE: 65 years and over: With two or more types of health insurance coverage: With employer-based and Medicare coverage: Civilian noninstitutionalized population -- (Margin of Error),0.4215337039009232,0.4215337039009232
TYPES OF HEALTH INSURANCE COVERAGE BY AGE: 18 to 34 years: With one type of health insurance coverage: With employer-based health insurance only: Civilian noninstitutionalized population -- (Margin of Error),0.4203491083670031,0.4203491083670031
TYPES OF HEALTH INSURANCE COVERAGE BY AGE: 18 to 34 years: With one type of health insurance coverage: With direct-purchase health insurance only: Civilian noninstitutionalized population -- (Margin of Error),0.4123951740781512,0.4123951740781512
