,correlation,abs_correlation
ALLOCATION OF FIELD OF DEGREE FOR POPULATION 25 YEARS AND OVER: Total: POPULATION 25 YEARS AND OVER WITH A BACHELOR'S DEGREE OR HIGHER ATTAINMENT -- (Estimate),1.0,1.0
ALLOCATION OF FIELD OF DEGREE FOR POPULATION 25 YEARS AND OVER: Not Allocated: POPULATION 25 YEARS AND OVER WITH A BACHELOR'S DEGREE OR HIGHER ATTAINMENT -- (Estimate),0.9934831626658446,0.9934831626658446
ALLOCATION OF FIELD OF DEGREE FOR POPULATION 25 YEARS AND OVER: Allocated: POPULATION 25 YEARS AND OVER WITH A BACHELOR'S DEGREE OR HIGHER ATTAINMENT -- (Estimate),0.784470776832937,0.784470776832937
ALLOCATION OF YEAR STRUCTURE BUILT: Not allocated: Housing units -- (Estimate),0.7582314373788712,0.7582314373788712
ALLOCATION OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - PERCENT OF INCOME ALLOCATED: No income allocated: Households -- (Estimate),0.7373459854601608,0.7373459854601608
ALLOCATION OF YEAR HOUSEHOLDER MOVED INTO UNIT: Not allocated: Occupied housing units -- (Estimate),0.7199332347967108,0.7199332347967108
ALLOCATION OF TELEPHONE SERVICE AVAILABLE: Not allocated: Occupied housing units -- (Estimate),0.716918982055304,0.716918982055304
ALLOCATION OF VEHICLES AVAILABLE: Total: Occupied housing units -- (Estimate),0.7163101525134119,0.7163101525134119
ALLOCATION OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - PERCENT OF INCOME ALLOCATED: Total: Households -- (Estimate),0.7163101525134119,0.7163101525134119
ALLOCATION OF HOUSE HEATING FUEL: Total: Occupied housing units -- (Estimate),0.7163101525134119,0.7163101525134119
ALLOCATION OF YEAR HOUSEHOLDER MOVED INTO UNIT: Total: Occupied housing units -- (Estimate),0.7163101525134119,0.7163101525134119
ALLOCATION OF TENURE: Total: Occupied housing units -- (Estimate),0.7163101525134119,0.7163101525134119
ALLOCATION OF TELEPHONE SERVICE AVAILABLE: Total: Occupied housing units -- (Estimate),0.7163101525134119,0.7163101525134119
ALLOCATION OF VEHICLES AVAILABLE: Not allocated: Occupied housing units -- (Estimate),0.716184762437063,0.716184762437063
ALLOCATION OF TENURE: Not allocated: Occupied housing units -- (Estimate),0.7161203938646094,0.7161203938646094
ALLOCATION OF HOUSE HEATING FUEL: Not allocated: Occupied housing units -- (Estimate),0.7159855039930111,0.7159855039930111
ALLOCATION OF POVERTY STATUS IN THE PAST 12 MONTHS FOR FAMILIES: No income allocated: Families -- (Estimate).1,0.6943400756723798,0.6943400756723798
ALLOCATION OF ROOMS: Not allocated: Housing units -- (Estimate),0.6894842044993675,0.6894842044993675
ALLOCATION OF BEDROOMS: Not allocated: Housing units -- (Estimate),0.6879217068504824,0.6879217068504824
ALLOCATION OF KITCHEN FACILITIES: Not allocated: Housing units -- (Estimate),0.6873637433677391,0.6873637433677391
ALLOCATION OF PLUMBING FACILITIES: Not allocated: Housing units -- (Estimate),0.6870760147316202,0.6870760147316202
ALLOCATION OF BEDROOMS: Total: Housing units -- (Estimate),0.6848976717111239,0.6848976717111239
ALLOCATION OF YEAR STRUCTURE BUILT: Total: Housing units -- (Estimate),0.6848976717111239,0.6848976717111239
ALLOCATION OF PLUMBING FACILITIES: Total: Housing units -- (Estimate),0.6848976717111239,0.6848976717111239
ALLOCATION OF ROOMS: Total: Housing units -- (Estimate),0.6848976717111239,0.6848976717111239
ALLOCATION OF KITCHEN FACILITIES: Total: Housing units -- (Estimate),0.6848976717111239,0.6848976717111239
ALLOCATION OF UNITS IN STRUCTURE: Total: Housing units -- (Estimate),0.6848976717111239,0.6848976717111239
ALLOCATION OF UNITS IN STRUCTURE: Not allocated: Housing units -- (Estimate),0.6830539371889912,0.6830539371889912
ALLOCATION OF LENGTH OF TIME GRANDPARENT RESPONSIBLE FOR OWN GRANDCHILDREN UNDER 18 YEARS FOR THE POPULATION 30 YEARS AND OVER: Not living with own grandchildren under 18 years: Population 30 years and over -- (Estimate),0.6717759404993914,0.6717759404993914
ALLOCATION OF OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER: Not Allocated: Civilian employed population 16 years and over -- (Estimate),0.6575379798611479,0.6575379798611479
ALLOCATION OF VALUE: Not allocated: Owner-occupied housing units -- (Estimate),0.6571876674472268,0.6571876674472268
ALLOCATION OF CLASS OF WORKER FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER: Not Allocated: Civilian employed population 16 years and over -- (Estimate),0.6569140561250189,0.6569140561250189
ALLOCATION OF INDUSTRY FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER: Not Allocated: Civilian employed population 16 years and over -- (Estimate),0.656311859214795,0.656311859214795
ALLOCATION OF INDUSTRY FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER: Total: Civilian employed population 16 years and over -- (Estimate),0.6513900485483102,0.6513900485483102
ALLOCATION OF OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER: Total: Civilian employed population 16 years and over -- (Estimate),0.6513900485483102,0.6513900485483102
ALLOCATION OF CLASS OF WORKER FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER: Total: Civilian employed population 16 years and over -- (Estimate),0.6513900485483102,0.6513900485483102
ALLOCATION OF GRANDPARENTS LIVING WITH GRANDCHILDREN UNDER 18 YEARS: Not allocated: Population 30 years and over -- (Estimate),0.6503014043151544,0.6503014043151544
ALLOCATION OF EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER: Not allocated: Population 25 years and over -- (Estimate),0.6478656835259654,0.6478656835259654
